time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-03T16:07:40.908Z,-32.5191,-71.8611,13.02,4.4,mb,,164,0.533,0.97,us,us7000hepj,2022-06-03T20:27:37.247Z,"Near the coast of Valparaiso, Chile",earthquake,3.1,4.7,0.24,5,reviewed,us,us
2022-06-03T16:05:12.003Z,35.9934,27.5996,25.98,4.9,mb,,59,0.476,0.96,us,us7000hepi,2022-06-03T23:41:38.760Z,"34 km SW of ?mponas, Greece",earthquake,4,2.6,0.037,229,reviewed,us,us
2022-06-03T15:59:06.619Z,61.6282,-150.174,24,2.2,ml,,,,0.63,ak,ak02272y1lxb,2022-06-03T16:46:43.040Z,"15 km SSW of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-03T15:37:26.020Z,38.2776667,-119.3066667,11.41,2.17,md,27,88,0.1268,0.18,nc,nc73740316,2022-06-04T02:12:11.251Z,"7km WNW of Bridgeport, CA",earthquake,0.34,1.56,0.266,26,reviewed,nc,nc
2022-06-03T15:24:24.750Z,35.682,-117.4821667,7.5,1.42,ml,28,86,0.09667,0.14,ci,ci40033215,2022-06-03T20:21:48.850Z,"12km SW of Searles Valley, CA",earthquake,0.17,0.69,0.104,16,reviewed,ci,ci
2022-06-03T15:20:26.603Z,-21.2196,-70.1371,73.64,4.5,mb,,150,0.246,0.78,us,us7000hepb,2022-06-03T19:43:35.011Z,"96 km N of Tocopilla, Chile",earthquake,4.1,4.9,0.131,19,reviewed,us,us
2022-06-03T14:58:48.340Z,33.7173333,-116.8388333,15.18,1.22,ml,51,66,0.07701,0.15,ci,ci40033207,2022-06-03T20:05:51.134Z,"6km SE of Valle Vista, CA",earthquake,0.16,0.29,0.194,28,reviewed,ci,ci
2022-06-03T14:54:35.669Z,-23.1576,-68.301,106.23,5.3,mww,,32,0.233,1.49,us,us7000hep8,2022-06-03T16:53:54.910Z,"29 km SSW of San Pedro de Atacama, Chile",earthquake,6.5,3.5,0.054,33,reviewed,us,us
2022-06-03T14:50:54.884Z,60.7744,-151.1617,43.2,1.7,ml,,,,0.51,ak,ak02272xecjy,2022-06-03T14:57:40.007Z,"11 km NE of Nikiski, Alaska",earthquake,,2.8,,,automatic,ak,ak
2022-06-03T14:47:40.452Z,61.4594,-150.5528,57.6,1.3,ml,,,,0.49,ak,ak02272xdoal,2022-06-03T14:56:21.473Z,"9 km SSW of Susitna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-06-03T14:45:48.380Z,35.12383333,-95.484,12.88,3.16,ml,72,55,0.079184461,0.68,ok,ok2022kure,2022-06-03T16:18:45.995Z,"10 km W of Quinton, Oklahoma",earthquake,,1.6,0.21,15,reviewed,ok,ok
2022-06-03T14:45:39.990Z,35.08483333,-95.5055,5.9,2.78,ml,82,57,0,0.24,ok,ok2022kurf,2022-06-03T15:14:16.814Z,"12 km WSW of Quinton, Oklahoma",earthquake,,0.6,0.17,16,reviewed,ok,ok
2022-06-03T14:31:29.260Z,37.1968333,-118.2391667,13.67,1.94,md,20,170,0.04863,0.08,nc,nc73740291,2022-06-03T18:17:21.391Z,"6km NE of Big Pine, CA",earthquake,0.87,0.24,0.142,15,reviewed,nc,nc
2022-06-03T14:27:02.940Z,36.26183333,-95.2205,0,1.38,ml,58,133,0.181764332,0.4,ok,ok2022kuqo,2022-06-03T14:36:42.846Z,"3 km ENE of Sportsmen Acres, Oklahoma",quarry blast,,0.4,0.24,18,reviewed,ok,ok
2022-06-03T14:06:52.089Z,62.1952,-147.9076,23,1.9,ml,,,,0.78,ak,ak02272x4wtz,2022-06-03T14:14:32.637Z,"45 km NNW of Glacier View, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-06-03T13:58:05.103Z,64.2461,-146.0666,64.7,1,ml,,,,4.53,ak,ak02272wudrs,2022-06-03T17:43:45.767Z,"12 km NW of Whitestone, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2022-06-03T13:48:33.003Z,61.8749,-147.9701,35.8,1.1,ml,,,,0.74,ak,ak02272wsfti,2022-06-03T14:00:34.159Z,"18 km WNW of Glacier View, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-03T13:20:07.970Z,37.3436667,-121.704,8.37,1.19,md,30,35,0.049,0.08,nc,nc73740271,2022-06-03T20:47:22.346Z,"11km ESE of Alum Rock, CA",earthquake,0.23,0.32,0.156,29,reviewed,nc,nc
2022-06-03T13:14:23.184Z,63.1308,-150.4612,98.3,1.5,ml,,,,0.53,ak,ak02272wl4q6,2022-06-03T13:24:35.057Z,"72 km NNE of Petersville, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-06-03T13:04:21.913Z,61.5695,-148.0102,7.9,1.6,ml,,,,1.16,ak,ak02272wizgz,2022-06-03T13:19:55.987Z,"32 km SW of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-06-03T12:55:53.750Z,51.5155,-177.3766667,9.12,1.6,ml,10,251,,0.11,av,av91584186,2022-06-04T01:03:10.390Z,"65 km SW of Adak, Alaska",earthquake,0.46,0.49,0.368622279,10,reviewed,av,av
2022-06-03T12:53:39.990Z,19.96966667,-155.5115,42.67,2.14,md,43,186,,0.11,hv,hv73032417,2022-06-03T22:01:10.240Z,"13 km SSW of Honoka?�a, Hawaii",earthquake,0.55,0.65,0.138727822,22,reviewed,hv,hv
2022-06-03T12:47:38.484Z,54.5067,-159.6644,19.59,3.3,ml,,212,0.327,0.59,us,us7000hem0,2022-06-03T13:02:36.040Z,"106 km SSE of Sand Point, Alaska",earthquake,10.8,13.5,0.097,14,reviewed,us,us
2022-06-03T12:44:18.230Z,37.3478333,-121.7043333,8.78,1.2,md,27,40,0.04961,0.06,nc,nc73740266,2022-06-03T18:43:13.542Z,"11km E of Alum Rock, CA",earthquake,0.18,0.33,0.144,25,reviewed,nc,nc
2022-06-03T12:44:11.430Z,35.7288333,-118.5005,4.99,1.5,ml,28,86,0.04716,0.19,ci,ci40033127,2022-06-03T16:12:03.037Z,"5km WNW of Wofford Heights, CA",earthquake,0.24,0.52,0.39,7,reviewed,ci,ci
2022-06-03T12:42:32.780Z,31.72027588,-104.5823409,6.138142904,2.5,ml,11,96,0.066405172,0.2,tx,tx2022kunb,2022-06-03T17:00:43.690Z,"54 km SSW of Whites City, New Mexico",earthquake,1.138481958,1.631221272,0.2,7,reviewed,tx,tx
2022-06-03T12:31:38.089Z,57.3561,-153.9363,11.8,1.3,ml,,,,0.48,ak,ak02272w3dg0,2022-06-03T12:34:00.866Z,"20 km S of Larsen Bay, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-06-03T12:23:17.580Z,35.5103333,-118.3893333,4.72,1.8,ml,33,38,0.167,0.18,ci,ci40033095,2022-06-03T15:01:01.910Z,"13km SE of Bodfish, CA",earthquake,0.23,2.05,0.214,29,reviewed,ci,ci
2022-06-03T12:16:13.096Z,65.1589,-149.0487,11,1.3,ml,,,,0.68,ak,ak02272w03rz,2022-06-03T12:26:18.560Z,"14 km E of Minto, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-06-03T12:14:16.454Z,61.7012,-147.5024,52.4,1.2,ml,,,,0.65,ak,ak02272vzp1b,2022-06-03T17:28:18.325Z,"14 km SE of Glacier View, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2022-06-03T12:05:21.050Z,33.9005,-118.4136667,11.27,2.51,ml,102,57,0.03647,0.22,ci,ci40033063,2022-06-04T03:01:30.324Z,"2km N of Manhattan Beach, CA",earthquake,0.16,0.23,0.19,30,reviewed,ci,ci
2022-06-03T11:48:39.001Z,61.8998,-147.9236,21.5,2.1,ml,,,,0.94,ak,ak02272vlkzh,2022-06-03T11:59:58.951Z,"17 km NW of Glacier View, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-06-03T11:39:05.100Z,34.1858333,-117.3796667,11.57,1.22,ml,58,42,0.02255,0.13,ci,ci40033047,2022-06-03T22:17:29.177Z,"4km SSE of Devore, CA",earthquake,0.14,0.27,0.144,25,reviewed,ci,ci
2022-06-03T11:36:04.520Z,33.2361667,-116.66,11.33,1.66,ml,63,20,0.03843,0.21,ci,ci40033039,2022-06-03T15:05:06.300Z,"6km SSW of Warner Springs, CA",earthquake,0.22,0.55,0.229,25,reviewed,ci,ci
2022-06-03T11:25:23.900Z,18.00233333,-67.04216667,6.58,1.82,md,4,127,,0.04,pr,pr71352148,2022-06-03T13:30:29.390Z,"3 km N of La Parguera, Puerto Rico",earthquake,0.41,0.84,0.220335901,4,reviewed,pr,pr
2022-06-03T11:14:35.660Z,40.7141667,-112.1006667,11.11,1.04,ml,26,57,0.03097,0.23,uu,uu60500382,2022-06-04T00:28:35.133Z,"0 km N of Magna, Utah",earthquake,0.44,0.82,0.166,2,reviewed,uu,uu
2022-06-03T11:13:56.903Z,61.7929,-151.3387,59.8,1.9,ml,,,,0.58,ak,ak02272ve4dt,2022-06-03T11:24:58.712Z,"22 km S of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-06-03T11:09:47.140Z,33.2368333,-116.6623333,10.42,1.49,ml,57,20,0.03965,0.22,ci,ci40033031,2022-06-03T15:05:09.320Z,"6km SSW of Warner Springs, CA",earthquake,0.23,0.46,0.222,25,reviewed,ci,ci
2022-06-03T11:03:48.020Z,18.013,-66.95966667,11.58,2.47,md,8,126,,0.24,pr,pr71352143,2022-06-03T15:09:33.339Z,"3 km SSW of Liborio Negron Torres, Puerto Rico",earthquake,0.84,1.29,0.215308727,6,reviewed,pr,pr
2022-06-03T11:02:47.220Z,40.7188333,-112.0986667,11.65,2.52,ml,39,46,0.0347,0.17,uu,uu60500377,2022-06-04T03:20:32.330Z,"1 km NNE of Magna, Utah",earthquake,0.31,0.66,0.167,18,reviewed,uu,uu
2022-06-03T11:00:49.450Z,34.2975,-116.8813333,5.71,1.43,ml,56,51,0.04794,0.12,ci,ci40033015,2022-06-03T21:52:56.490Z,"5km NW of Big Bear City, CA",earthquake,0.14,0.32,0.214,21,reviewed,ci,ci
2022-06-03T10:44:09.560Z,52.03083333,-174.3396667,13.33,1.17,ml,4,345,,0.06,av,av91061353,2022-06-04T00:36:55.020Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,1.43,1.52,0.582374325,4,reviewed,av,av
2022-06-03T10:43:08.840Z,33.2336667,-116.6536667,12.94,1.27,ml,52,37,0.03484,0.16,ci,ci40032999,2022-06-03T21:29:30.710Z,"6km SSW of Warner Springs, CA",earthquake,0.18,0.39,0.091,20,reviewed,ci,ci
2022-06-03T10:41:57.250Z,33.2366667,-116.6551667,11.52,1.86,ml,48,32,0.038,0.2,ci,ci40032991,2022-06-03T15:06:34.446Z,"5km SSW of Warner Springs, CA",earthquake,0.23,0.58,0.068,8,reviewed,ci,ci
2022-06-03T10:40:29.910Z,33.2336667,-116.6641667,10.93,3.61,mlr,154,15,0.03722,0.2,ci,ci40032983,2022-06-04T03:16:31.560Z,"6km SSW of Warner Springs, CA",earthquake,0.1,0.38,0.298,14,reviewed,ci,ci
2022-06-03T10:34:04.890Z,52.00833333,178.2978333,9.07,1.5,ml,4,352,,0.13,av,av91061363,2022-06-04T00:41:27.250Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,2.99,3.16,0.196867601,4,reviewed,av,av
2022-06-03T10:32:00.750Z,46.6511667,-112.4516667,15.86,1.7,ml,27,61,0.128,0.15,mb,mb80547724,2022-06-03T13:54:21.570Z,"10 km N of Elliston, Montana",earthquake,0.45,0.52,0.113,7,reviewed,mb,mb
2022-06-03T10:30:37.240Z,59.7972,-151.8444,61.4,3,ml,,,,0.4,ak,ak02272uwaf9,2022-06-03T17:18:04.821Z,"2 km NNW of Anchor Point, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-06-03T10:23:20.301Z,58.1252,-153.6248,54.9,1.3,ml,,,,0.18,ak,ak02272uur50,2022-06-03T10:32:44.274Z,"42 km W of Aleneva, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-06-03T10:18:38.020Z,34.2966667,-116.8806667,6.05,1.16,ml,40,54,0.04772,0.12,ci,ci40032975,2022-06-03T19:22:30.590Z,"5km NW of Big Bear City, CA",earthquake,0.16,0.32,0.162,25,reviewed,ci,ci
